ManagerName,PrivateFundName,PrivateFundGrossAssetValue,FilingDate
"Butterfly Equity, L.P.","BUTTERFLY FUND II, LP","335,085,170.00",4/28/2022
"Butterfly Equity, L.P.","BUTTERFLY FUND II-A, LP","253,497,213.00",4/28/2022
"Butterfly Equity, L.P.","BUTTERFLY FUND III, LP","96,522,083.00",4/28/2022
"Butterfly Equity, L.P.","BUTTERFLY FUND III-A, LP","182,766,690.00",4/28/2022
"Butterfly Equity, L.P.","BUTTERFLY GENERIS CO-INVEST, L.P.","548,477,534.00",4/28/2022
"Butterfly Equity, L.P.","BUTTERFLY PATRIOT CO-INVEST, L.P.","165,546,822.00",4/28/2022
"Butterfly Equity, L.P.","BUTTERFLY TIGER CO-INVEST, L.P.","53,448,154.00",4/28/2022
"Butterfly Equity, L.P.","BUTTERFLY TIGER CO-INVEST-A, L.P.","29,984,601.00",4/28/2022
"Butterfly Equity, L.P.","BUTTERFLY WHISK CO-INVEST, L.P.","83,096,073.00",4/28/2022
"Butterfly Equity, L.P.","BUTTERFLY WHISK CO-INVEST-A, L.P.","88,271,947.00",4/28/2022
"Butterfly Equity, L.P.","BUTTERFLY WHISK CO-INVEST-B, L.P.","64,997,932.00",4/28/2022
"Butterfly Equity, L.P.",LARGE BLUE HOLDINGS BE LP,"28,108,662.00",4/28/2022
"BV Investment Partners, L.P.","BVIP (PARALLEL) FUND IX, L.P.","581,922,002.00",1/31/2023
"BV Investment Partners, L.P.","BVIP (PARALLEL) FUND X, L.P.","802,434,836.00",1/31/2023
"BV Investment Partners, L.P.","BVIP FUND IX, L.P.","759,045,651.00",1/31/2023
"BV Investment Partners, L.P.","BVIP FUND VIII, LP","488,893,074.00",1/31/2023
"BV Investment Partners, L.P.","BVIP FUND X, L.P.","714,307,076.00",1/31/2023
"C-Bridge Capital Investment Management, LTD.","C-BRIDGE HEALTHCARE FUND II, L.P.","875,305,749.00",3/28/2022
"C-Bridge Capital Investment Management, LTD.","C-BRIDGE HEALTHCARE FUND, L.P.","87,768,697.00",3/28/2022
C-Bridge Capital LLC,"C-BRIDGE HEALTHCARE FUND IV, L.P.","1,104,167,470.00",12/22/2022
C-Bridge Capital LLC,"C-BRIDGE HEALTHCARE FUND V, L.P.","1,718,569,832.00",12/22/2022
C-Bridge Capital LLC,"R-BRIDGE HEALTHCARE FUND, L.P.","283,002,959.00",12/22/2022
"CAA Connect, LLC","CONNECT VENTURES I, L.P.","100,000,000.00",12/13/2022
"Cadent Management Services, LLC","CADENT ENERGY PARTNERS I, L.P.","1,803,964.00",3/30/2022
"Cadent Management Services, LLC","CADENT ENERGY PARTNERS II, L.P.","239,813,151.00",3/30/2022
CAI Manager LP,CAI CO-INVEST FUND LP,"13,583,451.00",7/28/2022
CAI Manager LP,CAI CO-INVEST IP FUND LP,"114,386,702.00",7/28/2022
CAI Manager LP,CAI CO-INVEST IP NOTES FUND LP,"89,015,841.00",7/28/2022
CAI Manager LP,CLIMATE ADAPTIVE INFRASTRUCTURE FUND LP,"41,881,207.00",7/28/2022
CAI Manager LP,CLIMATE ADAPTIVE INFRASTRUCTURE FUND-A LP,"2,933,537.00",7/28/2022
CAI Manager LP,CLIMATE ADAPTIVE INFRASTRUCTURE FUND-TE LP,"60,915,532.00",7/28/2022
"Camden Partners Holdings, LLC","CAMDEN PARTNERS INWOOD FUND, LP","22,525,000.00",3/31/2022
"Camden Partners Holdings, LLC","CAMDEN PARTNERS OCP I, LP","1,725,375.00",3/31/2022
Canaan Management LLC,CANAAN 2020+ CO-INVESTMENT SERIES 1 LP,"132,372,790.00",1/20/2023
Canaan Management LLC,CANAAN 2020+ CO-INVESTMENT SERIES 10 LP,"16,920,803.00",1/20/2023
Canaan Management LLC,CANAAN 2020+ CO-INVESTMENT SERIES 11 LP,"27,250,182.00",1/20/2023
Canaan Management LLC,CANAAN 2020+ CO-INVESTMENT SERIES 12 LP,"11,035,000.00",1/20/2023
Canaan Management LLC,CANAAN 2020+ CO-INVESTMENT SERIES 13 LP,"5,088,000.00",1/20/2023
Canaan Management LLC,CANAAN 2020+ CO-INVESTMENT SERIES 14 LP,"5,000,000.00",1/20/2023
Canaan Management LLC,CANAAN 2020+ CO-INVESTMENT SERIES 15 LP,"6,549,407.00",1/20/2023
Canaan Management LLC,CANAAN 2020+ CO-INVESTMENT SERIES 16 LP,"15,021,154.00",1/20/2023
Canaan Management LLC,CANAAN 2020+ CO-INVESTMENT SERIES 17 LP,"5,000,000.00",1/20/2023
Canaan Management LLC,CANAAN 2020+ CO-INVESTMENT SERIES 18 LP,"14,000,000.00",1/20/2023
Canaan Management LLC,CANAAN 2020+ CO-INVESTMENT SERIES 2 LP,"61,498,697.00",1/20/2023
Canaan Management LLC,CANAAN 2020+ CO-INVESTMENT SERIES 3 LP,"24,965,627.00",1/20/2023
Canaan Management LLC,CANAAN 2020+ CO-INVESTMENT SERIES 4 LP,"13,147,397.00",1/20/2023
Canaan Management LLC,CANAAN 2020+ CO-INVESTMENT SERIES 5 LP,"18,100,000.00",1/20/2023
Canaan Management LLC,CANAAN 2020+ CO-INVESTMENT SERIES 6 LP,"17,000,000.00",1/20/2023
Canaan Management LLC,CANAAN 2020+ CO-INVESTMENT SERIES 7 LP,"16,400,000.00",1/20/2023
Canaan Management LLC,CANAAN 2020+ CO-INVESTMENT SERIES 8 LP,"14,999,998.00",1/20/2023
Canaan Management LLC,CANAAN 2020+ CO-INVESTMENT SERIES 9 LP,"45,673,959.00",1/20/2023
Canaan Management LLC,CANAAN VII LP,"85,153,660.00",1/20/2023
Canaan Management LLC,CANAAN XII LP,"907,430,563.00",1/20/2023
Canary Management Eireli,"ATLANTICO PARTNERS, L.P.","102,191,805.00",3/31/2022
Canary Management Eireli,"CANARY ANCHORS FUND I, L.P.","91,781,757.00",3/31/2022
Canary Management Eireli,"CANARY ANCHORS FUND II, L.P.","69,077,582.00",3/31/2022
Canary Management Eireli,"CANARY ANCHORS FUND III, LP","51,463,496.00",3/31/2022
Canary Management Eireli,"CANARY FUND I, L.P.","67,600,603.00",3/31/2022
Canary Management Eireli,"CANARY FUND II, L.P.","41,764,381.00",3/31/2022
Canary Management Eireli,"CANARY FUND III, LP","51,864,116.00",3/31/2022
Canary Management Eireli,"CANARY OPERATORS FUND I, L.P.","15,293,434.00",3/31/2022
Canary Management Eireli,"CANARY OPERATORS FUND II, L.P.","7,350,302.00",3/31/2022
Canary Management Eireli,"CANARY OPERATORS FUND III, LP","7,375,324.00",3/31/2022
Canterbury Consulting Incorporated,"CANTERBURY CONSULTING PC FUND I (A), LP","38,688,489.00",9/16/2022
Canterbury Consulting Incorporated,"CANTERBURY CONSULTING PC FUND I (B), LP","48,025,295.00",9/16/2022
Canterbury Consulting Incorporated,"CANTERBURY CONSULTING PC FUND II (A), LP",,0  2022-09-16
Canterbury Consulting Incorporated,"CANTERBURY CONSULTING PC FUND II (B), LP",,0  2022-09-16
Canterbury Consulting Incorporated,"CANTERBURY CONSULTING SPFS FUND VIII (ONSHORE), LP","19,022,535.00",9/16/2022
Canterbury Consulting Incorporated,"CANTERBURY CONSULTING SPFS FUND VIII, LP","17,034,369.00",9/16/2022
"Canvas Management Company, L.L.C.",CANVAS VENTURE FUND L.P.,"437,342,230.00",4/14/2022
"Canvas Management Company, L.L.C.","CANVAS VENTURES 2, L.P.","476,930,724.00",4/14/2022
"Canvas Management Company, L.L.C.","CANVAS VENTURES 3, L.P.","374,276,504.00",4/14/2022
Capital Dynamics Limited,"CAPITAL DYNAMICS CLEAN ENERGY AND INFRASTRUCTURE VIA, SCSP","5,888,357.00",3/31/2022
Capital Dynamics Limited,CAPITAL DYNAMICS GLOBAL SECONDARIES V (FEEDER) SCSP,"287,801,158.00",3/31/2022
"Capital Dynamics, Inc.","CAPITAL DYNAMICS CLEAN ENERGY INFRASTRUCTURE FUND X-C (DELAWARE), L.P.","166,954,619.00",9/14/2022
Capria Ventures LLC,CAPRIA FUND LLC,"54,138,040.00",3/31/2022
Capria Ventures LLC,"CAPRIA OPPORTUNITIES, LP - 5C NETWORK SERIES","300,000.00",3/31/2022
Capria Ventures LLC,"CAPRIA OPPORTUNITIES, LP - AWIGN SERIES","858,500.00",3/31/2022
Capria Ventures LLC,"CAPRIA OPPORTUNITIES, LP - BETTERPLACE SERIES","1,248,840.00",3/31/2022
Capria Ventures LLC,"UNITUS SEED FUND, LP","23,402,597.00",3/31/2022
"Capybara Management, LLC","OREGON VENTURE FUND 2022, LLC","15,000,000.00",3/24/2022
Carte Verte Management LLC,"KINDRED CH 2, LP","22,150,000.00",3/25/2022
Carte Verte Management LLC,"KINDRED FOLLOW-ON I, L.P.","20,202,020.00",3/25/2022
Carte Verte Management LLC,"KINDRED SELECTOR I, L.P.","106,363,636.00",3/25/2022
Carte Verte Management LLC,"KINDRED TS 1, LLC","19,779,628.00",3/25/2022
Carte Verte Management LLC,"KINDRED TS 2, LLC","2,799,993.00",3/25/2022
Carte Verte Management LLC,"KINDRED VENTURES ASSOCIATES II, L.P.","787,033.00",3/25/2022
Carte Verte Management LLC,"KINDRED VENTURES CH 1, LP","26,610,569.00",3/25/2022
Carte Verte Management LLC,"KINDRED VENTURES II, L.P.","98,264,041.00",3/25/2022
Castle Creek Advisors IV LLC,"CASTLE CREEK CAPITAL PARTNERS IV, LP",,0  2022-03-17
Castle Creek Advisors IV LLC,"CASTLE CREEK CAPITAL PARTNERS V, LP","89,673,976.00",3/17/2022
Castle Creek Advisors IV LLC,"CASTLE CREEK CAPITAL PARTNERS VI, LP","397,500,110.00",3/17/2022
Castle Creek Advisors IV LLC,"CASTLE CREEK CAPITAL PARTNERS VII, LP","261,365,091.00",3/17/2022
Castle Creek Advisors IV LLC,"CASTLE CREEK CAPITAL PARTNERS VIII, LP","3,777,836.00",3/17/2022
Castle Creek Advisors IV LLC,"CASTLE CREEK SPECIAL SITUATIONS II, LP","6,155,262.00",3/17/2022
Castle Creek Launchpad I GP LLC,"CASTLE CREEK LAUNCHPAD FUND I, LP","78,770,000.00",5/11/2022
"Castle Island Management, LLC","CASTLE ISLAND VENTURES I, L.P.","122,347,490.00",3/31/2022
"Castle Island Management, LLC","CASTLE ISLAND VENTURES I-A, L.P.","10,320,577.00",3/31/2022
"Castle Island Management, LLC","CASTLE ISLAND VENTURES II, L.P.","36,626,776.00",3/31/2022
"Castle Island Management, LLC","CASTLE ISLAND VENTURES II-A, L.P.","24,377,653.00",3/31/2022
"Castle Island Management, LLC","CIV OPPORTUNITY SERIES CO-INVEST I, L.P.","23,906,522.00",3/31/2022
"Castle Island Management, LLC","CIV OPPORTUNITY SERIES CO-INVEST I, L.P. - (SERIES 2)","1,821,202.00",3/31/2022
"Castle Island Management, LLC","CIV OPPORTUNITY SERIES CO-INVEST I, L.P. - (SERIES 3)","1,503,239.00",3/31/2022
"Castle Island Management, LLC","CIV OPPORTUNITY SERIES CO-INVEST I, L.P. - (SERIES 4)","18,820,378.00",3/31/2022
"Castle Island Management, LLC","CIV OPPORTUNITY SERIES CO-INVEST I, L.P. - (SERIES 5)","2,499,843.00",3/31/2022
"Castle Island Management, LLC","CIV OPPORTUNITY SERIES CO-INVEST I, L.P. - (SERIES 6)","7,279,161.00",3/31/2022
"Castle Island Management, LLC","CIV OPPORTUNITY SERIES CO-INVEST I, L.P. - (SERIES 7)","6,548,992.00",3/31/2022
"Catalio Capital Management, LP","CATALIO ACCESS FUND V, LLC","16,326,983.00",11/22/2022
"Catalio Capital Management, LP",CATALIO CREDIT OPPORTUNITIES FUND I LP,"59,024,465.00",11/22/2022
"Catalio Capital Management, LP","CATALIO GENESIS FUND I, LLC","43,082,480.00",11/22/2022
"Catalio Capital Management, LP","CATALIO GENESIS FUND II, LLC","47,269,053.00",11/22/2022
"Catalio Capital Management, LP","CATALIO GENESIS FUND III, LLC","35,612,840.00",11/22/2022
"Catalio Capital Management, LP","CATALIO NEXUS SIDECAR I, LLC",573,11/22/2022
"Catalio Capital Management, LP","CATALIO SPECIAL OPPORTUNITIES FUND I, LLC","5,190,069.00",11/22/2022
"Catamount Ventures Management, LLC","CATAMOUNT VENTURES III, LP","38,300,476.00",3/29/2022
"Catamount Ventures Management, LLC","CATAMOUNT VENTURES IV, LP","16,568,711.00",3/29/2022
CatchLight Capital Management LLC,"CATCHLIGHT CAPITAL PARTNERS I, LP","25,452,677.00",5/9/2022
CatchLight Capital Management LLC,"CATCHLIGHT CAPITAL PARTNERS II, LP","59,949,502.00",5/9/2022
CatchLight Capital Management LLC,"CATCHLIGHT DANDELION I, LP","3,575,568.00",5/9/2022
"Catterton Management Company, L.L.C.","L CATTERTON GROWTH IV, L.P.","1,621,236,963.00",1/4/2023
"Catterton Management Company, L.L.C.","L CATTERTON GROWTH V, L.P.","282,500,000.00",1/4/2023
"Catterton Management Company, L.L.C.","LC-MC HOLDINGS, L.L.C.","16,128,319.00",1/4/2023
"Catterton Management Company, L.L.C.","LCG4 SMART CITY, LP","134,837,030.00",1/4/2023
"Catterton Management Company, L.L.C.","LCGP3 FLEXIBLE FITNESS, LP","33,999,987.00",1/4/2023
"Catterton Management Company, L.L.C.","LCLA2 BRAZIL HOLDINGS, LP","219,873,521.00",1/4/2023
"Catterton Management Company, L.L.C.","LCLA2 EATS INVESTOR AGGREGATOR, LP","17,270,666.00",1/4/2023
"Catterton Management Company, L.L.C.","LCLA2 HEATHCOTE HOLDINGS, LP","102,290,139.00",1/4/2023
"Catterton Management Company, L.L.C.","LCLA3 BRAZIL HOLDINGS, LP","141,431,513.00",1/4/2023
CBRE Caledon Capital Management Inc.,"CBRE CALEDON GLOBAL INFRASTRUCTURE FUND HOLDINGS I, LP","551,688,731.00",4/1/2021
Cbre Investment Management Infrastructure INC.,"CBRE CALEDON GLOBAL INFRASTRUCTURE FUND HOLDINGS I, LP","10,055,660,419.00",3/31/2022
CCF Capital Management I LLC,CALIFORNIA CRESCENT FUND I LP,"132,500.00",8/17/2022
Ccmco L.L.C.,C2 INVESTMENTS LP,"1,144,411,647.00",8/18/2022
Ccmco L.L.C.,CTRY L.P.,"106,799,218.00",8/18/2022
Ccmco L.L.C.,"ND2100 LP, S-SHIPPO","36,133,996.00",8/18/2022
Cdib Capital International (Hong Kong) Limited,CDIB CAPITAL ASIA PARTNERS L.P.,"399,000,000.00",9/5/2022
Cdib Capital International (Hong Kong) Limited,CDIB CAPITAL GLOBAL OPPORTUNITIES FUND L.P.,"40,000,000.00",9/5/2022
Cdib Capital International (Usa) Corporation,CDIB CAPITAL GLOBAL OPPORTUNITIES FUND L.P.,"40,000,000.00",1/3/2023
Cdib Capital International Corporation,CDIB CAPITAL GLOBAL OPPORTUNITIES FUND L.P.,"40,000,000.00",9/5/2022
"Cendana Capital Management, LLC","CENDANA BLACKBIRD, L.P.","112,824,418.00",3/18/2022
"Cendana Capital Management, LLC","CENDANA CAPITAL II, L.P.","156,492,477.00",3/18/2022
"Cendana Capital Management, LLC","CENDANA CAPITAL III, L.P.","130,655,788.00",3/18/2022
"Cendana Capital Management, LLC","CENDANA CAPITAL IV, LP","233,130,532.00",3/18/2022
"Cendana Capital Management, LLC","CENDANA CAPITAL, L.P.","141,688,584.00",3/18/2022
"Cendana Capital Management, LLC","CENDANA INTERNATIONAL II, L.P.","81,127,400.00",3/18/2022
"Cendana Capital Management, LLC","CENDANA INVESTMENTS II, L.P.","57,524,130.00",3/18/2022
"Cendana Capital Management, LLC","CENDANA INVESTMENTS III, L.P.","50,396,431.00",3/18/2022
"Cendana Capital Management, LLC","CENDANA INVESTMENTS, L.P.","41,564,702.00",3/18/2022
"Cendana Capital Management, LLC","CENDANA LONGHORNS, LP","661,830,736.00",3/18/2022
"Cendana Capital Management, LLC","CENDANA NANO, L.P.","31,197,934.00",3/18/2022
"Centana Management, LLC","BRYANT SANDS, LLC","25,452,297.00",3/31/2022
"Centana Management, LLC","CENTANA GROWTH PARTNERS II, L.P.","370,284,976.00",3/31/2022
"Centana Management, LLC","CENTANA GROWTH PARTNERS, L.P.","836,016,763.00",3/31/2022
"Center Rock Capital Partners, LP","CENTER ROCK CAPITAL PARTNERS EXECUTIVE FUND I, LP","22,194,648.00",9/22/2022
"Center Rock Capital Partners, LP","CENTER ROCK CAPITAL PARTNERS FUND I, LP","585,412,785.00",9/22/2022
"Center Rock Capital Partners, LP","CENTER ROCK CAPITAL PARTNERS FUND I-A, LP","376,403,421.00",9/22/2022
"Center Rock Capital Partners, LP","CENTER ROCK CAPITAL PARTNERS FUND II, LP","126,563,500.00",9/22/2022
"Center Rock Capital Partners, LP","CENTER ROCK CAPITAL PARTNERS FUND II-A, LP","59,305,000.00",9/22/2022
Century Equity Partners LLC,"CENTURY DOXA CO-INVEST, LP","21,122,059.00",11/4/2022
Century Equity Partners LLC,"CENTURY FOCUSED FUND III, L.P.","113,717,505.00",11/4/2022
Century Equity Partners LLC,"CENTURY FOCUSED FUND IV BSP HOLDINGS, LLC","61,753,000.00",11/4/2022
Century Equity Partners LLC,"CENTURY FOCUSED FUND IV, L.P.","421,090,638.00",11/4/2022
Century Equity Partners LLC,CENTURY HHC CO-INVEST LP,"51,122,629.00",11/4/2022
Century Equity Partners LLC,"CENTURY RCG CO-INVEST, LP","46,433,605.00",11/4/2022
Certares Management LLC,CERTARES HOLDINGS (BLOCKABLE) LLC,"1,597,000,000.00",9/21/2022
Certares Management LLC,CERTARES HOLDINGS (OPTIONAL) LLC,"297,000,000.00",9/21/2022
Certares Management LLC,CERTARES HOLDINGS LLC,"387,000,000.00",9/21/2022
Certares Management LLC,CERTARES REAL ESTATE HOLDINGS I LP,"120,000,000.00",9/21/2022
"Chapter ONE, Management Company, LLC",CHAPTER ONE DAPPER LABS 2021 LLC,"2,642,500.00",6/16/2022
"Chapter ONE, Management Company, LLC","CHAPTER ONE, OPPORTUNITIES FUND, L.P.","12,398,990.00",6/16/2022
"Chapter ONE, Management Company, LLC","CHAPTER ONE, PAGE TWO, L.P.","37,429,813.00",6/16/2022
"Chapter ONE, Management Company, LLC","CHAPTER ONE, PAGE TWO-A, L.P.","2,570,187.00",6/16/2022
Charger Investment Partners LP,ACCELERATE AUTO WORKS LLC,"89,500,000.00",4/21/2022
Charger Investment Partners LP,CHARGER COMPOSITE WORKS LLC,"64,630,000.00",4/21/2022
Charger Investment Partners LP,CHARGER INVESTMENT PARTNERS FUND I LP,"344,630,623.00",4/21/2022
Charger Investment Partners LP,CHARGER INVESTMENT PARTNERS FUND I-A LP,"39,064,520.00",4/21/2022
Charger Investment Partners LP,CHARGER INVESTMENT PARTNERS FUND I-F LP,"45,972,758.00",4/21/2022
China Consumer Management II Limited,"CHINA CONSUMER CAPITAL FUND II, L.P.","213,799,535.00",3/14/2022
China Consumer Management II Limited,"CHINA CONSUMER CAPITAL FUND, L.P.","4,545,016.00",3/14/2022
China Renaissance Capital Investment INC.,"CHINA HARVEST FUND III, L.P.","219,728,068.00",5/16/2022
"Cibolo Energy Partners, LLC","CEP ASSOCIATES VEHICLE, L.P.","4,875,000.00",8/10/2022
"Cibolo Energy Partners, LLC","CIBOLO CORNERSTONE CO-INVESTMENT, LP","30,900,000.00",8/10/2022
"Cibolo Energy Partners, LLC","CIBOLO ENERGY COINVESTMENT I, LLC","11,200,000.00",8/10/2022
"Cibolo Energy Partners, LLC","CIBOLO ENERGY COINVESTMENT II, LLC","12,000,000.00",8/10/2022
"Cibolo Energy Partners, LLC","CIBOLO ENERGY COINVESTMENT III, LLC","101,000,000.00",8/10/2022
"Cibolo Energy Partners, LLC","CIBOLO ENERGY COINVESTMENT IV, LLC","5,000,000.00",8/10/2022
"Cibolo Energy Partners, LLC","CIBOLO ENERGY COINVESTMENT V, LLC","102,500,000.00",8/10/2022
"Cibolo Energy Partners, LLC","CIBOLO ENERGY PARTNERS I, L.P.","256,000,000.00",8/10/2022
CITIC PE Funds Management Limited,"CB LOGISTICS COINVEST, L.P.","9,068,490.00",3/29/2022
CITIC PE Funds Management Limited,"CPECHINA FUND II, L.P.","1,221,925,712.00",3/29/2022
CITIC PE Funds Management Limited,"CPECHINA FUND, L.P.","1,289,371,812.00",3/29/2022
CITIC PE Funds Management Limited,"CPECHINA WATER FUND, L.P.","350,000.00",3/29/2022
"Clarion Capital Partners, LLC","CLARION INVESTORS III SLP, LP","20,961,085.00",3/31/2022
"Clarion Capital Partners, LLC",MADISON LOGIC CO-INVEST L.P.,"77,292,787.00",3/31/2022
"Clarion Capital Partners, LLC","RIGHTSOURCE CO-INVEST, LP","1,490,173.00",3/31/2022
"Clear Venture Management, LLC","CLEAR VENTURES GROWTH I, L.P.","33,013,796.00",3/29/2022
"Clear Venture Management, LLC","CLEAR VENTURES II, L.P.","196,033,890.00",3/29/2022
"Clear Venture Management, LLC","CLEAR VENTURES, L.P.","153,205,543.00",3/29/2022
Clearhaven Partners LP,"CLEARHAVEN FUND I, L.P.","212,602,047.00",9/12/2022
Clearhaven Partners LP,"CLEARHAVEN FUND I-A, L.P.","140,166,972.00",9/12/2022
"Clearview Capital, L.P.","CLEARVIEW CAPITAL FUND II (PARALLEL), LP","8,617,151.00",3/30/2022
"Clearview Capital, L.P.","CLEARVIEW CAPITAL FUND II, LP","101,076,049.00",3/30/2022
"Clearview Capital, L.P.","CLEARVIEW CAPITAL FUND III, LP","321,908,610.00",3/30/2022
"Clearview Capital, L.P.","CLEARVIEW CAPITAL MEZZANINE FUND I, L.P.","103,152,794.00",3/30/2022
"Clearview Capital, L.P.","CLEARVIEW CAPITAL MEZZANINE FUND I-A, L.P.","24,216,277.00",3/30/2022
"Clearview Capital, LLC","CLEARVIEW CAPITAL FUND II (PARALLEL), LP","10,705,489.00",3/29/2018
"Clearview Capital, LLC","CLEARVIEW CAPITAL FUND II, LP","122,891,402.00",3/29/2018
"Clearview Capital, LLC","CLEARVIEW CAPITAL FUND III, LP","442,023,782.00",3/29/2018
"Clearvision Ventures Management, LLC","CLEARVISION VENTURES ECOSYSTEM FUND, LP","50,648,426.00",2/27/2023
"Climactic Management, LLC","CLIMACTIC I, L.P.","34,858,533.00",3/3/2023
"Cloud Apps Management, LLC","CLOUD APPS CAPITAL PARTNERS II, LP","65,400,227.00",3/24/2022
"Cloud Apps Management, LLC","CLOUD APPS CAPITAL PARTNERS, LP","60,047,284.00",3/24/2022
"Cloverlay Investment Management, LLC","CLOVERLAY FUND II, LP","152,517,986.00",12/20/2022
"Cloverlay Investment Management, LLC",CLOVERLAY SOLUTIONS (BRAVO) L.P.,"185,256,623.00",12/20/2022
"Cloverlay Investment Management, LLC",CLOVERLAY SPORTS ASSETS SPV L.P.,"26,203,138.00",12/20/2022
"CMC Capital Advisors, LTD","ALPHA PLUS FUND, L.P.","44,506,097.00",3/21/2022
"CMC Capital Advisors, LTD","CMC CAPITAL PARTNERS II, L.P.","642,450,486.00",3/21/2022
"CMC Capital Advisors, LTD","CMC CAPITAL PARTNERS III, L.P.","1,193,088,023.00",3/21/2022
"CMC Capital Advisors, LTD","CMC CAPITAL PARTNERS IV, L.P.","251,750,000.00",3/21/2022
"Coefficient Capital, LLC","COEFFICIENT CAPITAL APEX FUND I, LP","144,545,455.00",3/30/2022
"Cohen Circle Fintech Ventures Management, LLC","COHEN CIRCLE FINTECH VENTURES, L.P.","22,614,485.00",3/7/2023
Columbia Lake Partners Manager LLP,"COLUMBIA LAKE PARTNERS GROWTH LENDING I, L.P.","116,559,500.00",3/28/2022
"Columbia Pacific Advisors, LLC","COLUMBIA FREEHOLD, LP","71,222,527.00",12/8/2022
"Columbia Pacific Advisors, LLC","COLUMBIA PACIFIC REAL ESTATE FUND I, L.P.","57,380,405.00",12/8/2022
"Columbia Pacific Advisors, LLC","COLUMBIA PACIFIC SENIOR HOUSING FUND, L.P.","737,884.00",12/8/2022
"Columbia Pacific Advisors, LLC","CP 2017 SH FUND I, L.P.,","305,786.00",12/8/2022
"Columbia Pacific Advisors, LLC","CP 2017 TEA I, L.P.","195,810.00",12/8/2022
"Columbia Pacific Advisors, LLC","CP BUSINESS FINANCE I, LP","61,208,566.00",12/8/2022
"Columbia Pacific Advisors, LLC","CP BUSINESS FINANCE II, LP","101,343,190.00",12/8/2022
"Columbia Pacific Advisors, LLC","CP JR VENTURE I, LP","64,445,569.00",12/8/2022
"Columbia Pacific Advisors, LLC","CP SQ VENTURE I, LP","76,823,178.00",12/8/2022
"Columbia Pacific Advisors, LLC","CP VENTURE I, LP","497,751,377.00",12/8/2022
"Columbia Pacific Advisors, LLC","UNION BAY CAPITAL PARTNERS I, LLC","4,822,284.00",12/8/2022
"Commerce Ventures Management, LLC","COMMERCE IVY II-A, LLC","14,020,400.00",3/29/2022
"Commerce Ventures Management, LLC","COMMERCE IVY III, LLC","5,538,061.00",3/29/2022
"Commerce Ventures Management, LLC","COMMERCE VENTURES II, LP","120,500,138.00",3/29/2022
"Commerce Ventures Management, LLC","COMMERCE VENTURES IV, LP","140,958,536.00",3/29/2022
"Commerce Ventures Management, LLC","COMMERCE VENTURES IV-A, L.P.","14,190,483.00",3/29/2022
"Commerce Ventures Management, LLC","COMMERCE VENTURES, L.P.","65,339,562.00",3/29/2022
"Commerce Ventures Management, LLC","CV II BILLING IND 2021, LLC","508,463.00",3/29/2022
"Commerce Ventures Management, LLC","CV II BILLING IND, LLC","2,340,185.00",3/29/2022
"Commerce Ventures Management, LLC","CV II BILLING, LLC","9,989,645.00",3/29/2022
"Commerce Ventures Management, LLC","CV II FINTECH, LLC","29,566,566.00",3/29/2022
"Commerce Ventures Management, LLC","CV II PROTECT C, LLC","9,687,590.00",3/29/2022
"Commerce Ventures Management, LLC","CV II PROTECT C-1, LLC","3,658,362.00",3/29/2022
"Commerce Ventures Management, LLC","CV II PROTECT D, LLC","4,282,057.00",3/29/2022
"Commerce Ventures Management, LLC","CV II PROTECT E, LLC","6,079,475.00",3/29/2022
"Commerce Ventures Management, LLC","CV II PROTECT E-VERDE, LLC","1,963,490.00",3/29/2022
"Commerce Ventures Management, LLC","CV II PROTECT, LLC","32,033,334.00",3/29/2022
"Commerce Ventures Management, LLC","CV III CHECKOUT, LLC","407,486.00",3/29/2022
"Commerce Ventures Management, LLC","CV III DINING, LLC","2,600,000.00",3/29/2022
"Commerce Ventures Management, LLC","CV III GBG, LLC","5,001,126.00",3/29/2022
"Commerce Ventures Management, LLC","CV III PATIENT, LLC","533,770.00",3/29/2022
"Commerce Ventures Management, LLC","CV III RECOMMERCE, LLC","3,211,433.00",3/29/2022
"Commerce Ventures Management, LLC","CV INDUSTRY II, LLC","183,931,352.00",3/29/2022
"Commerce Ventures Management, LLC","CV OPPORTUNITIES, L.P.","19,285,702.00",3/29/2022
"Commerce Ventures Management, LLC","CV STRONG F, LLC","6,475,095.00",3/29/2022
"Commerce Ventures Management, LLC","CV STRONG, LLC","3,140,355.00",3/29/2022
"Commonfund Asset Management Company, INC.","COMMONFUND PRIVATE CREDIT FUND 2018, L.P.","137,540,635.00",2/1/2023
"Commonfund Asset Management Company, INC.","COMMONFUND PRIVATE CREDIT FUND II, L.P.","149,730,397.00",2/1/2023
"Commonfund Asset Management Company, INC.","COMMONFUND REAL ESTATE OPPORTUNITY FUND 2018, L.P.","202,028,228.00",2/1/2023
"Commonfund Asset Management Company, INC.","COMMONFUND REAL ESTATE OPPORTUNITY FUND II, L.P.","262,017,573.00",2/1/2023
"Commonfund Capital, Inc.","KAALA COMMONFUND CAPITAL, LP","200,040,000.00",2/1/2023
"Compound Advisor, LLC","COMPOUND 2021, LP","57,916,708.00",3/31/2022
"Compound Advisor, LLC","COMPOUND II, L.P.","114,262,899.00",3/31/2022
"Compound Advisor, LLC","COMPOUND II-A, LP","3,631,140.00",3/31/2022
"Compound Advisor, LLC","COMPOUND III, LP","179,539,325.00",3/31/2022
